日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150401","3305","昇貿","5825692","631709350","113.00","113.50","105.00","105.00","-2.0000","5343"
"1150401","3308","聯德","99178","2063248","20.20","21.25","20.20","20.70","0.7000","90"
"1150401","3311","閎暉","125980","4038215","32.50","32.50","31.70","32.15","0.6500","99"
"1150401","3312","弘憶股","269784","9516276","35.75","35.75","35.10","35.30","0.9500","325"
"1150401","3321","同泰","129230","2056830","15.65","16.30","15.60","15.70","0.3000","156"
"1150401","3338","泰碩","405492","24352590","59.70","60.50","59.30","59.90","2.0000","516"
"1150401","3346","麗清","258139","4735031","18.40","18.45","18.15","18.30","0.2500","831"
"1150401","3356","奇偶","250904","12225804","47.85","49.15","47.85","48.85","1.7500","342"
"1150401","3376","新日興","4221485","826926357","200.00","200.00","193.00","196.00","5.0000","3956"
"1150401","3380","明泰","8179440","302634920","36.00","37.65","36.00","36.70","1.6500","5051"
"1150401","3406","玉晶光","525404","235623010","451.50","452.00","443.50","451.50","14.0000","886"
"1150401","3413","京鼎","1527399","450193077","298.00","299.00","293.00","295.00","6.0000","1537"
"1150401","3416","融程電","98011","14222221","146.00","146.50","144.00","144.00","1.0000","169"
"1150401","3419","譁裕","277784","4374355","16.30","16.30","15.15","15.65","0.0000","191"
"1150401","3432","台端","17006","285749","17.30","17.30","16.60","16.65","0.1500","13"
"1150401","3437","榮創","1342202","29257225","21.50","22.55","20.80","22.55","1.9500","1086"
"1150401","3443","創意","1949221","4543682285","2300.00","2380.00","2255.00","2355.00","190.0000","7057"
"1150401","3447","展達","102550","4000393","39.00","39.50","38.65","38.70","1.0000","98"
"1150401","3450","聯鈞","7947764","2002868190","256.00","258.00","246.00","247.50","5.5000","9697"
"1150401","3481","群創","328715661","8324559551","25.05","25.95","24.80","25.05","1.2000","89468"
"1150401","3494","誠研","75855","597118","7.97","7.97","7.82","7.92","0.0300","64"
"1150401","3501","維熹","84776","4086128","47.45","48.50","47.45","48.30","1.3000","124"
"1150401","3504","揚明光","254231","13369068","51.70","53.20","51.70","53.10","2.7000","212"
"1150401","3515","華擎","371575","76399191","207.00","208.00","205.50","207.00","5.0000","374"
"1150401","3518","柏騰","109937","2273105","20.65","20.90","20.40","20.60","0.6500","148"
"1150401","3528","安馳","182035","11689796","63.00","65.40","62.80","64.50","2.5000","162"
"1150401","3530","晶相光","108836","6250037","57.00","58.20","56.50","57.90","2.6000","146"
"1150401","3532","台勝科","931866","125884736","137.00","137.00","133.00","135.00","4.5000","886"
"1150401","3533","嘉澤","2571867","5457417830","2150.00","2170.00","2090.00","2125.00","75.0000","3415"
"1150401","3535","晶彩科","3190558","338794730","110.00","110.00","104.00","106.00","2.5000","2823"
"1150401","3543","州巧","1084845","51902646","48.45","48.90","47.30","47.35","0.2000","796"
"1150401","3545","敦泰","3090200","150749995","48.05","49.45","47.95","48.70","1.3000","2215"
"1150401","3550","聯穎","3459677","64866499","18.30","19.20","18.00","18.55","0.9500","2012"
"1150401","3557","嘉威","82557","2501521","31.10","31.10","30.00","30.65","0.6000","45"
"1150401","3563","牧德","3554341","2805624700","798.00","805.00","774.00","775.00","15.0000","4611"
"1150401","3576","聯合再生","21878009","477592847","22.70","22.70","21.25","21.30","0.0500","11024"
"1150401","3583","辛耘","3093591","1466596173","489.00","491.50","459.50","465.00","11.5000","4385"
"1150401","3588","通嘉","71210","3374717","47.35","48.00","47.15","47.15","0.8500","135"
"1150401","3591","艾笛森","3764135","77851490","20.10","21.25","20.10","20.55","0.8000","1842"
"1150401","3592","瑞鼎","462198","103438722","224.50","225.50","222.00","225.00","6.0000","560"
"1150401","3593","力銘","14406","192750","13.35","13.50","13.30","13.30","-0.0500","351"
"1150401","3596","智易","5794979","954044778","156.50","167.00","156.50","167.00","15.0000","3307"
"1150401","3605","宏致","666430","37614748","56.00","56.90","56.00","56.50","2.0000","517"
"1150401","3607","谷崧","332330","4704083","14.20","14.25","14.05","14.20","0.3000","252"
"1150401","3617","碩天","144234","24822098","172.00","173.50","171.00","171.50","3.5000","188"
"1150401","3622","洋華","187951","10764430","57.60","57.60","56.90","57.10","0.9000","163"
"1150401","3645","達邁","3585707","265586579","75.00","76.20","72.40","73.10","0.9000","2756"
"1150401","3652","精聯","24103","647347","27.15","27.15","26.50","26.90","0.2500","24"
"1150401","3653","健策","1416825","5661398790","3980.00","4050.00","3950.00","3950.00","155.0000","4882"
"1150401","3661","世芯-KY","1709004","4621089680","2660.00","2730.00","2635.00","2730.00","245.0000","10507"
"1150401","3665","貿聯-KY","2718701","5157420475","1865.00","1910.00","1860.00","1910.00","170.0000","6519"
"1150401","3669","圓展","64308","2111056","32.20","33.10","32.20","32.70","0.6500","56"
"1150401","3673","TPK-KY","2412244","106729123","44.35","45.10","43.45","43.45","0.0500","2326"
"1150401","3679","新至陞","30519","3603026","119.00","119.00","117.00","118.00","1.5000","39"
"1150401","3686","達能","251967","4512929","18.00","18.35","17.75","17.90","0.1000","245"
"1150401","3694","海華","664375","37008184","55.60","56.40","55.30","55.60","1.5000","545"
"1150401","3701","大眾控","2679464","153711240","58.00","58.60","56.50","56.50","0.8000","1855"
"1150401","3702","大聯大","15924350","1435485624","92.60","92.90","88.40","89.90","1.9000","10558"
"1150401","3703","欣陸","442573","9910110","22.45","22.50","22.25","22.40","0.3000","374"
"1150401","3704","合勤控","1994262","66618311","33.70","33.95","33.00","33.05","0.3500","1600"
"1150401","3705","永信","325754","17775145","54.20","54.90","54.20","54.50","0.4000","254"
"1150401","3706","神達","5302299","403955132","76.00","76.60","75.70","76.40","2.6000","4293"
"1150401","3708","上緯投控","1507168","186609603","121.00","126.00","121.00","122.50","3.5000","1565"
"1150401","3711","日月光投控","18680325","6642583373","345.00","361.00","344.50","361.00","32.5000","20707"
"1150401","3712","永崴投控","387471","8471596","22.25","22.25","21.65","21.85","0.2000","418"
"1150401","3714","富采","13116104","644082236","48.05","49.80","48.00","49.30","3.7500","9009"
"1150401","3715","定穎投控","43560239","7887682095","185.50","187.50","176.00","180.00","5.0000","44398"
"1150401","3716","中化控股","286877","9481410","33.00","33.25","32.80","33.25","0.5500","281"
"1150401","3717","聯嘉投控","2299720","51726553","22.20","22.85","22.05","22.85","1.2000","1469"
"1150401","4104","佳醫","158445","12307428","77.70","77.90","77.20","77.50","0.5000","360"
"1150401","4106","雃博","69866","1554277","22.10","22.35","22.10","22.20","0.1000","60"
"1150401","4108","懷特","198893","2521626","12.60","12.85","12.60","12.80","0.2000","265"
"1150401","4119","旭富","113529","5858555","51.80","52.00","51.10","51.90","1.0000","113"
"1150401","4133","亞諾法","65766","1493811","22.70","22.85","22.60","22.85","0.3500","150"
"1150401","4137","麗豐-KY","105124","11080521","107.00","107.00","105.00","105.50","1.0000","204"
"1150401","4142","國光生","1871290","35074747","18.55","18.90","18.45","18.80","0.4500","1237"
"1150401","4148","全宇生技-KY","105002","4510824","42.60","43.70","41.90","43.60","0.1000","107"
"1150401","4155","訊映","215324","2864230","13.20","13.55","13.05","13.25","0.1500","472"
"1150401","4164","承業醫","625821","19277012","30.75","31.00","30.45","31.00","0.8500","548"
"1150401","4190","佐登-KY","17304","472194","27.45","27.45","27.15","27.30","0.1000","111"
"1150401","4306","炎洲","700924","9607658","13.70","13.75","13.65","13.70","0.0500","496"
"1150401","4414","如興","1127258","13751705","12.10","12.35","11.95","12.05","0.0000","564"
"1150401","4426","利勤","84584","763504","9.10","9.10","9.00","9.00","0.0000","64"
"1150401","4438","廣越","78962","4465735","58.70","58.70","56.00","56.70","0.7000","96"
"1150401","4439","冠星-KY","41240","3528657","86.80","86.80","84.10","86.50","-0.3000","58"
"1150401","4440","宜新實業","108363","1885130","17.05","18.00","16.90","17.00","-0.2000","132"
"1150401","4441","振大環球","59507","11494367","198.00","198.00","191.00","192.00","1.5000","67"
"1150401","4526","東台","5657296","193944843","33.45","34.85","33.45","34.45","2.4500","3763"
"1150401","4532","瑞智","1463974","38294601","26.75","26.75","25.95","26.00","-0.1500","955"
"1150401","4536","拓凱","108364","16355331","151.00","152.00","150.50","151.00","2.0000","129"
"1150401","4540","全球傳動","636117","26911821","42.20","42.90","41.75","41.90","0.7500","679"
"1150401","4545","銘鈺","66042","2011788","30.70","30.70","30.25","30.70","0.8500","91"
"1150401","4551","智伸科","350643","46351138","134.00","134.00","130.50","131.50","2.5000","398"
"1150401","4552","力達-KY","99507","2088584","21.10","21.15","20.85","20.90","0.1500","576"
"1150401","4555","氣立","134565","4849403","35.10","37.15","35.00","35.45","0.6500","123"
"1150401","4557","永新-KY","96574","5571245","57.00","58.40","57.00","57.90","1.4000","638"
"1150401","4560","強信-KY","391048","12882199","32.60","33.50","32.40","32.75","0.3500","115"
"1150401","4562","穎漢","134423","4064854","30.30","30.75","30.05","30.10","0.5000","118"
"1150401","4564","元翎","744995","14177558","19.55","19.55","18.80","18.95","-0.1500","541"
"1150401","4566","時碩工業","192422","11110918","58.30","58.30","57.20","57.80","1.4000","600"
"1150401","4569","六方科-KY","45212","5810314","129.50","130.50","127.50","128.50","1.5000","56"
"1150401","4571","鈞興-KY","193721","29291282","150.50","153.50","150.00","150.50","2.0000","286"
"1150401","4572","駐龍","42680","6060178","141.00","143.50","140.50","142.50","3.0000","54"
"1150401","4576","大銀微系統","1868328","250364072","137.50","137.50","131.00","131.50","0.5000","2471"
"1150401","4581","光隆精密-KY","9126","448036","48.80","49.45","48.80","49.10","0.0000","9"
"1150401","4583","台灣精銳","130187","83699106","640.00","649.00","638.00","642.00","18.0000","284"
"1150401","4585","達明","150228","43569434","292.00","293.50","288.00","289.00","3.5000","556"
"1150401","4588","玖鼎電力","34108","1972248","58.00","58.00","57.60","57.60","0.4000","44"
"1150401","4590","富田-創","95437","7022730","73.70","74.40","72.60","74.30","2.4000","91"
"1150401","4720","德淵","1533763","27024237","17.70","17.90","17.45","17.70","0.1000","811"
"1150401","4722","國精化","1193126","195881010","167.00","168.50","161.50","164.50","4.5000","2104"
"1150401","4736","泰博","52165","6402654","123.00","123.50","122.50","122.50","1.0000","77"
"1150401","4737","華廣","535790","37702421","68.20","72.90","68.20","71.70","3.9000","524"
"1150401","4739","康普","1709155","135348523","80.00","81.50","78.10","78.10","0.6000","1964"
"1150401","4746","台耀","986092","55054984","55.30","56.50","54.30","56.00","2.4000","837"
